Timestamp,Quantité consommée (mW),Prix
2024-03-03 08:46:27,2169,401265
2024-03-03 08:46:27,2187,404595
2024-03-03 08:46:27,2173,402005
2024-03-03 08:46:27,2189,404965
2024-03-03 08:46:27,2173,402005
2024-03-03 08:46:27,2190,405150
2024-03-03 08:46:27,2175,402375
2024-03-03 08:46:27,2191,405335
2024-03-03 08:46:27,2178,402930
2024-03-03 08:46:27,2167,400895
2024-03-03 08:46:27,2188,404780
2024-03-03 08:46:27,2175,402375
2024-03-03 08:46:27,2191,405335
2024-03-03 08:46:27,2176,402560
2024-03-03 08:46:27,2167,400895
2024-03-03 08:46:27,2188,404780
2024-03-03 08:46:27,2176,402560
2024-03-03 08:46:27,2166,400710
2024-03-03 08:46:27,2189,404965
2024-03-03 08:46:27,2177,402745
2024-03-03 08:46:27,2169,401265
2024-03-03 08:46:27,2189,404965
2024-03-03 08:46:27,2177,402745
2024-03-03 08:46:27,2165,400525
2024-03-03 08:46:27,2189,404965
2024-03-03 08:46:27,2175,402375
2024-03-03 08:46:27,2195,406075
2024-03-03 08:46:27,2179,403115
2024-03-03 08:46:27,2169,401265
2024-03-03 08:46:27,2187,404595
2024-03-03 08:46:27,2172,401820
2024-03-03 08:46:27,2193,405705
2024-03-03 08:46:27,2176,402560
2024-03-03 08:46:27,2165,400525
2024-03-03 08:46:27,2187,404595
2024-03-03 08:46:27,2175,402375
2024-03-03 08:46:27,2191,405335
2024-03-03 08:46:27,2179,403115
2024-03-03 08:46:27,2171,401635
2024-03-03 08:46:27,2190,405150
2024-03-03 08:46:27,2178,402930
2024-03-03 08:46:27,2169,401265
2024-03-03 08:46:27,2190,405150
2024-03-03 08:46:27,2177,402745
2024-03-03 08:46:27,2168,401080
2024-03-03 08:46:27,2187,404595
2024-03-03 08:46:27,2173,402005
2024-03-03 08:46:27,2190,405150
2024-03-03 08:46:27,2177,402745
2024-03-03 08:46:27,2167,400895
2024-03-03 08:46:27,2189,404965
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2188,404780
2024-03-03 08:46:28,2176,402560
2024-03-03 08:46:28,2166,400710
2024-03-03 08:46:28,2187,404595
2024-03-03 08:46:28,2174,402190
2024-03-03 08:46:28,2191,405335
2024-03-03 08:46:28,2179,403115
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2191,405335
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2168,401080
2024-03-03 08:46:28,2194,405890
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2187,404595
2024-03-03 08:46:28,2172,401820
2024-03-03 08:46:28,2190,405150
2024-03-03 08:46:28,2178,402930
2024-03-03 08:46:28,2169,401265
2024-03-03 08:46:28,2190,405150
2024-03-03 08:46:28,2173,402005
2024-03-03 08:46:28,2190,405150
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2186,404410
2024-03-03 08:46:28,2171,401635
2024-03-03 08:46:28,2189,404965
2024-03-03 08:46:28,2174,402190
2024-03-03 08:46:28,2190,405150
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2189,404965
2024-03-03 08:46:28,2178,402930
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2188,404780
2024-03-03 08:46:28,2173,402005
2024-03-03 08:46:28,2191,405335
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2167,400895
2024-03-03 08:46:28,2187,404595
2024-03-03 08:46:28,2171,401635
2024-03-03 08:46:28,2187,404595
2024-03-03 08:46:28,2173,402005
2024-03-03 08:46:28,2191,405335
2024-03-03 08:46:28,2177,402745
2024-03-03 08:46:28,2165,400525
2024-03-03 08:46:28,2187,404595
2024-03-03 08:46:28,2172,401820
2024-03-03 08:46:28,2191,405335
2024-03-03 08:46:28,2178,402930
